EmployeeID,DepartmentID,DepartmentName,RoleName,AnnualSalary,HireDate
1,5,Operations,Executive,71699.0,2022-12-31
2,1,Sales,Manager,51213.0,2022-12-31
3,3,Finance,Associate,44046.0,2022-12-30
4,2,Marketing,Manager,50406.0,2022-12-30
5,2,Marketing,Executive,77449.0,2022-12-30
6,3,Finance,Associate,41156.18296487692,2022-12-28
7,4,Human Resources,Associate,39589.53218248652,2022-12-31
8,5,Operations,Manager,62067.0,2022-12-28
9,3,Finance,Associate,38095.0,2022-12-30
10,2,Marketing,Associate,51500.0,2022-12-29
11,2,Marketing,Associate,46970.0,2022-12-27
12,3,Finance,Manager,59909.0,2022-12-31
13,3,Finance,Associate,41156.18296487692,2022-12-22
14,3,Finance,Executive,71103.0,2022-12-26
15,4,Human Resources,Manager,58199.0,2022-12-30
16,1,Sales,Manager,50893.0,2022-12-27
17,5,Operations,Manager,53781.0,2022-12-30
18,1,Sales,Associate,39096.0,2022-12-30
19,1,Sales,Associate,42118.0,2022-12-22
20,5,Operations,Associate,35747.0,2022-12-27
21,2,Marketing,Executive,81474.0,2022-12-24
22,4,Human Resources,Executive,121462.44142024846,2022-12-20
23,5,Operations,Manager,56249.0,2022-12-28
24,2,Marketing,Manager,57618.0,2022-06-23
25,4,Human Resources,Executive,80100.0,2022-12-24
26,1,Sales,Executive,116485.21429852198,2022-12-11
27,2,Marketing,Manager,49981.0,2022-06-23
28,1,Sales,Executive,91290.0,2022-12-28
29,3,Finance,Manager,59569.0,2022-12-14
30,5,Operations,Associate,33223.0,2022-12-13
31,4,Human Resources,Manager,53589.0,2022-12-14
32,1,Sales,Manager,59401.0,2022-12-30
33,3,Finance,Executive,103887.56450456612,2022-12-29
34,4,Human Resources,Manager,59758.390308591675,2022-12-22
35,4,Human Resources,Manager,66070.0,2022-12-10
36,5,Operations,Associate,42736.0,2022-12-30
37,2,Marketing,Executive,108332.7343298129,2022-12-31
38,4,Human Resources,Manager,59758.390308591675,2022-12-30
39,1,Sales,Associate,44116.0,2022-12-29
41,2,Marketing,Manager,62130.0,2022-12-31
42,5,Operations,Manager,54300.0,2022-12-27
43,5,Operations,Associate,37176.0,2022-12-26
44,3,Finance,Manager,62355.0,2022-12-28
45,2,Marketing,Associate,39737.42929100642,2022-11-27
46,4,Human Resources,Manager,59758.390308591675,2022-12-31
47,1,Sales,Associate,51647.0,2022-12-31
48,3,Finance,Executive,77805.0,2022-12-08
49,3,Finance,Manager,54574.0,2022-12-01
51,3,Finance,Manager,55883.0,2022-06-23
52,3,Finance,Associate,44430.0,2022-12-02
53,4,Human Resources,Manager,71845.0,2022-11-27
54,4,Human Resources,Manager,47430.0,2022-12-21
55,4,Human Resources,Associate,48091.0,2022-12-09
56,3,Finance,Associate,47104.0,2022-12-26
57,5,Operations,Associate,37421.0,2022-12-08
58,3,Finance,Executive,103887.56450456612,2022-12-26
59,4,Human Resources,Executive,76070.0,2022-12-18
60,2,Marketing,Associate,36140.0,2022-12-14
61,2,Marketing,Manager,62548.0,2022-12-23
62,3,Finance,Executive,56827.0,2022-11-29
63,3,Finance,Executive,76879.0,2022-11-25
64,4,Human Resources,Executive,70025.0,2022-12-21
65,4,Human Resources,Associate,41843.0,2022-12-23
66,5,Operations,Associate,33592.0,2022-11-30
67,5,Operations,Manager,63640.0,2022-12-09
68,2,Marketing,Executive,95132.0,2022-11-07
69,4,Human Resources,Manager,55220.0,2022-11-16
70,2,Marketing,Manager,63898.0,2022-11-15
71,5,Operations,Executive,62199.0,2022-12-13
72,3,Finance,Executive,86609.0,2022-11-29
73,2,Marketing,Executive,108332.7343298129,2022-11-29
74,4,Human Resources,Manager,69699.0,2022-11-02
76,2,Marketing,Executive,108332.7343298129,2022-06-14
77,5,Operations,Executive,522179.0,2022-11-18
78,4,Human Resources,Associate,42164.0,2022-12-29
79,3,Finance,Executive,89685.0,2022-12-17
80,4,Human Resources,Associate,45665.0,2022-12-19
81,2,Marketing,Associate,35666.0,2022-11-02
82,5,Operations,Manager,53780.0,2022-12-06
83,2,Marketing,Executive,86558.0,2022-11-16
84,1,Sales,Manager,56120.0,2022-12-18
85,2,Marketing,Executive,74689.0,2022-11-16
86,1,Sales,Associate,37934.0,2022-04-21
87,1,Sales,Executive,491751.0,2022-12-17
88,2,Marketing,Manager,57652.0,2022-11-03
89,1,Sales,Associate,30867.0,2022-11-27
90,5,Operations,Associate,33990.0,2022-04-21
91,1,Sales,Associate,41823.0,2022-12-01
92,2,Marketing,Executive,108332.7343298129,2022-11-26
93,2,Marketing,Executive,85834.0,2022-11-11
94,1,Sales,Executive,71012.0,2022-10-26
95,4,Human Resources,Associate,33574.0,2022-04-21
96,1,Sales,Manager,65441.0,2022-10-28
97,3,Finance,Associate,49068.0,2022-04-21
98,1,Sales,Executive,509552.0,2022-12-28
99,5,Operations,Associate,46447.0,2022-12-02
100,1,Sales,Executive,501172.0,2022-10-24
101,1,Sales,Executive,85504.0,2022-11-11
102,4,Human Resources,Manager,58149.0,2022-10-17
103,2,Marketing,Manager,60904.0,2022-10-26
104,1,Sales,Associate,46567.0,2022-12-17
105,3,Finance,Manager,59730.0,2022-10-08
106,1,Sales,Executive,81708.0,2022-10-22
107,3,Finance,Executive,57923.0,2022-10-11
108,4,Human Resources,Manager,59758.390308591675,2022-12-28
109,1,Sales,Associate,37673.0,2022-11-07
110,5,Operations,Executive,76922.0,2022-11-01
111,5,Operations,Associate,40366.80635538272,2022-04-21
112,3,Finance,Executive,103887.56450456612,2022-12-27
113,3,Finance,Associate,40322.0,2022-11-20
114,4,Human Resources,Manager,60929.0,2022-10-28
115,3,Finance,Executive,103887.56450456612,2022-12-24
116,3,Finance,Executive,76959.0,2022-12-12
117,3,Finance,Manager,61255.0,2022-11-17
118,5,Operations,Executive,76121.0,2022-10-20
119,2,Marketing,Associate,38639.0,2022-10-27
120,1,Sales,Manager,59571.91515860383,2022-11-11
121,1,Sales,Associate,38849.0,2022-04-21
122,2,Marketing,Associate,36329.0,2022-10-09
123,2,Marketing,Associate,37596.0,2022-12-04
124,4,Human Resources,Manager,59758.390308591675,2022-06-23
125,2,Marketing,Associate,33945.0,2022-10-07
126,1,Sales,Manager,52649.0,2022-11-15
127,2,Marketing,Associate,36141.0,2022-12-04
128,3,Finance,Associate,37252.0,2022-11-28
129,4,Human Resources,Manager,62156.0,2022-12-10
130,3,Finance,Associate,42514.0,2022-11-17
131,2,Marketing,Executive,89880.0,2022-09-27
132,5,Operations,Manager,43307.0,2022-06-23
133,5,Operations,Executive,82077.0,2022-12-11
134,3,Finance,Associate,41552.0,2022-11-26
135,5,Operations,Executive,77718.0,2022-10-31
136,5,Operations,Manager,59326.31530065456,2022-10-14
137,3,Finance,Executive,88511.0,2022-09-23
138,4,Human Resources,Manager,59758.390308591675,2022-10-27
139,2,Marketing,Associate,38030.0,2022-09-29
140,5,Operations,Manager,63859.0,2022-11-06
141,5,Operations,Associate,35968.0,2022-10-09
142,5,Operations,Associate,43021.0,2022-11-28
143,3,Finance,Associate,43090.0,2022-10-30
144,5,Operations,Executive,88434.0,2022-09-19
145,4,Human Resources,Executive,74168.0,2022-12-20
146,3,Finance,Associate,44614.0,2022-12-02
147,2,Marketing,Manager,60516.6848681298,2022-11-30
148,4,Human Resources,Manager,63286.0,2022-10-21
149,4,Human Resources,Manager,61942.0,2022-12-09
150,3,Finance,Manager,59276.0,2022-12-15
152,2,Marketing,Executive,79615.0,2022-11-17
153,1,Sales,Manager,64471.0,2022-09-26
154,5,Operations,Associate,51620.0,2022-10-29
155,4,Human Resources,Associate,38842.0,2022-10-14
156,4,Human Resources,Manager,47015.0,2022-10-29
157,5,Operations,Manager,73771.0,2022-09-20
158,5,Operations,Associate,44025.0,2022-09-18
159,4,Human Resources,Associate,36615.0,2022-11-10
160,5,Operations,Executive,91176.0,2022-10-20
161,2,Marketing,Executive,71469.0,2022-12-23
162,2,Marketing,Manager,59345.0,2022-10-13
163,3,Finance,Executive,79068.0,2022-09-17
164,1,Sales,Associate,46941.0,2022-12-21
165,1,Sales,Manager,59571.91515860383,2022-12-27
166,2,Marketing,Executive,70755.0,2022-06-14
167,1,Sales,Manager,59571.91515860383,2022-08-27
168,1,Sales,Executive,78570.0,2022-11-06
169,5,Operations,Associate,43066.0,2022-11-16
170,3,Finance,Manager,58926.0,2022-12-27
171,2,Marketing,Executive,80068.0,2022-09-11
172,5,Operations,Executive,77998.0,2022-11-10
173,2,Marketing,Associate,42473.0,2022-11-20
174,1,Sales,Associate,40712.0,2022-04-21
176,1,Sales,Associate,44383.0,2022-11-02
177,1,Sales,Manager,59571.91515860383,2022-10-07
178,1,Sales,Executive,91638.0,2022-10-19
179,1,Sales,Manager,59571.91515860383,2022-12-11
180,1,Sales,Executive,95368.0,2022-09-21
181,4,Human Resources,Executive,73546.0,2022-08-19
182,1,Sales,Associate,36012.0,2022-11-27
183,2,Marketing,Executive,108332.7343298129,2022-08-29
184,1,Sales,Executive,82869.0,2022-11-29
185,5,Operations,Associate,40366.80635538272,2022-10-21
186,2,Marketing,Associate,34606.0,2022-04-21
187,1,Sales,Manager,65900.0,2022-10-30
188,1,Sales,Associate,44191.0,2022-12-21
189,1,Sales,Associate,50166.0,2022-12-14
190,2,Marketing,Associate,36608.0,2022-09-23
191,2,Marketing,Manager,58315.0,2022-08-16
192,2,Marketing,Executive,82414.0,2022-11-23
193,2,Marketing,Associate,44840.0,2022-09-28
194,2,Marketing,Manager,60143.0,2022-09-05
195,1,Sales,Associate,39685.0,2022-12-03
196,1,Sales,Associate,44735.0,2022-11-06
197,3,Finance,Manager,61804.0,2022-12-20
198,3,Finance,Executive,103887.56450456612,2022-11-02
199,4,Human Resources,Manager,58868.0,2022-11-30
200,4,Human Resources,Manager,44305.0,2022-11-19
201,3,Finance,Manager,55093.0,2022-12-24
202,3,Finance,Associate,48319.0,2022-10-06
203,3,Finance,Manager,59311.0,2022-09-06
204,5,Operations,Manager,48678.0,2022-11-15
205,4,Human Resources,Manager,60314.0,2022-11-03
206,3,Finance,Associate,44598.0,2022-08-09
207,1,Sales,Executive,116485.21429852198,2022-09-08
208,5,Operations,Manager,64546.0,2022-10-15
209,4,Human Resources,Executive,93215.0,2022-11-10
210,3,Finance,Associate,42150.0,2022-08-21
211,4,Human Resources,Executive,68306.0,2022-10-31
212,1,Sales,Associate,40409.06051381489,2022-10-22
213,4,Human Resources,Associate,47486.0,2022-11-15
214,2,Marketing,Associate,36574.0,2022-08-01
215,4,Human Resources,Executive,78349.0,2022-09-30
216,4,Human Resources,Manager,65923.0,2022-10-13
217,2,Marketing,Manager,62617.0,2022-09-25
218,3,Finance,Associate,34635.0,2022-12-08
219,2,Marketing,Manager,62439.0,2022-08-31
220,1,Sales,Executive,79197.0,2022-08-12
221,1,Sales,Associate,45579.0,2022-10-18
222,1,Sales,Executive,67065.0,2022-08-22
223,5,Operations,Executive,95032.0,2022-11-11
224,1,Sales,Manager,53855.0,2022-10-03
225,4,Human Resources,Executive,86026.0,2022-10-19
226,2,Marketing,Executive,75140.0,2022-08-23
227,2,Marketing,Associate,42633.0,2022-12-25
228,4,Human Resources,Manager,60149.0,2022-08-01
229,5,Operations,Associate,44599.0,2022-08-08
230,5,Operations,Manager,53978.0,2022-12-29
231,2,Marketing,Manager,60516.6848681298,2022-11-18
232,5,Operations,Executive,84447.0,2022-11-18
233,3,Finance,Executive,103887.56450456612,2022-09-22
234,5,Operations,Associate,41455.0,2022-12-31
235,5,Operations,Manager,59857.0,2022-12-01
236,1,Sales,Manager,62300.0,2022-07-18
237,5,Operations,Associate,39252.0,2022-08-26
238,3,Finance,Manager,58008.88696278488,2022-11-16
239,1,Sales,Executive,75177.0,2022-12-27
240,5,Operations,Associate,39354.0,2022-07-12
241,5,Operations,Associate,42984.0,2022-10-12
242,2,Marketing,Manager,58427.0,2022-08-29
243,1,Sales,Executive,116485.21429852198,2022-12-06
244,4,Human Resources,Manager,42085.0,2022-09-20
245,4,Human Resources,Associate,32901.0,2022-09-15
246,1,Sales,Associate,31695.0,2022-08-17
247,5,Operations,Associate,40399.0,2022-07-15
248,2,Marketing,Executive,78363.0,2022-07-05
249,5,Operations,Associate,52425.0,2022-10-31
250,1,Sales,Associate,43684.0,2022-10-22
251,2,Marketing,Manager,60516.6848681298,2022-09-19
252,2,Marketing,Executive,86192.0,2022-07-08
253,4,Human Resources,Associate,40120.0,2022-06-19
254,5,Operations,Executive,67871.0,2022-07-26
255,4,Human Resources,Associate,40153.0,2022-12-31
256,5,Operations,Associate,38040.0,2022-11-09
257,1,Sales,Manager,60606.0,2022-12-09
258,4,Human Resources,Associate,43412.0,2022-11-04
259,3,Finance,Executive,62012.0,2022-06-10
260,5,Operations,Executive,64328.0,2022-06-18
261,5,Operations,Manager,48973.0,2022-06-23
262,3,Finance,Executive,65632.0,2022-10-20
263,4,Human Resources,Manager,64373.0,2022-09-03
264,4,Human Resources,Executive,63422.0,2022-11-03
265,2,Marketing,Associate,53043.0,2022-06-17
266,2,Marketing,Associate,33936.0,2022-06-14
267,2,Marketing,Manager,55956.0,2022-08-31
268,1,Sales,Manager,60059.0,2022-09-04
269,5,Operations,Manager,51538.0,2022-07-20
270,3,Finance,Executive,85038.0,2022-11-29
272,4,Human Resources,Manager,58128.0,2022-08-27
273,3,Finance,Executive,84230.0,2022-11-09
274,2,Marketing,Associate,39737.42929100642,2022-11-06
275,1,Sales,Manager,67646.0,2022-11-02
276,5,Operations,Associate,37819.0,2022-06-26
277,1,Sales,Associate,40409.06051381489,2022-12-31
278,4,Human Resources,Manager,54423.0,2022-07-11
279,3,Finance,Manager,52179.0,2022-06-23
280,2,Marketing,Executive,84857.0,2022-10-15
281,2,Marketing,Associate,37045.0,2022-10-30
282,1,Sales,Executive,68067.0,2022-08-01
283,1,Sales,Executive,74376.0,2022-12-29
284,3,Finance,Manager,59132.0,2022-08-20
285,3,Finance,Executive,60183.0,2022-10-16
286,3,Finance,Manager,53985.0,2022-10-27
287,2,Marketing,Executive,509423.0,2022-10-19
288,5,Operations,Manager,65695.0,2022-11-30
289,1,Sales,Executive,116485.21429852198,2022-06-05
290,3,Finance,Executive,495437.0,2022-07-16
291,2,Marketing,Executive,80810.0,2022-05-29
292,4,Human Resources,Manager,65717.0,2022-09-18
293,2,Marketing,Associate,41117.0,2022-08-08
294,1,Sales,Executive,116485.21429852198,2022-05-21
295,3,Finance,Manager,60795.0,2022-07-13
296,4,Human Resources,Associate,37063.0,2022-10-12
297,5,Operations,Executive,78025.0,2022-09-08
298,5,Operations,Executive,80111.0,2022-09-16
299,2,Marketing,Manager,62851.0,2022-05-10
300,3,Finance,Associate,40371.0,2022-11-20
301,3,Finance,Associate,31154.0,2022-12-24
302,5,Operations,Associate,36273.0,2022-10-18
303,1,Sales,Associate,39391.0,2022-11-29
304,1,Sales,Associate,36370.0,2022-07-01
305,2,Marketing,Associate,34071.0,2022-08-23
306,2,Marketing,Executive,77075.0,2022-12-05
307,3,Finance,Associate,42262.0,2022-06-09
308,1,Sales,Manager,63583.0,2022-10-16
309,4,Human Resources,Associate,39589.53218248652,2022-08-20
310,3,Finance,Manager,59420.0,2022-12-09
311,3,Finance,Associate,35535.0,2022-06-20
312,1,Sales,Associate,42983.0,2022-12-14
313,2,Marketing,Executive,76874.0,2022-06-03
314,2,Marketing,Associate,39737.42929100642,2022-11-01
315,4,Human Resources,Associate,39589.53218248652,2022-06-21
316,1,Sales,Manager,59571.91515860383,2022-11-15
317,3,Finance,Manager,55221.0,2022-06-09
318,5,Operations,Executive,515643.0,2022-07-10
319,3,Finance,Manager,56863.0,2022-07-11
320,4,Human Resources,Associate,43436.0,2022-07-26
321,5,Operations,Executive,91145.0,2022-10-29
322,3,Finance,Manager,60516.0,2022-06-21
323,1,Sales,Manager,66617.0,2022-10-20
324,5,Operations,Associate,51082.0,2022-08-14
325,3,Finance,Manager,55567.0,2022-05-19
326,4,Human Resources,Executive,88570.0,2022-09-01
327,1,Sales,Manager,56577.0,2022-06-06
328,2,Marketing,Manager,66107.0,2022-10-23
329,1,Sales,Associate,37981.0,2022-06-13
330,4,Human Resources,Manager,56385.0,2022-12-29
331,1,Sales,Executive,86448.0,2022-11-26
332,2,Marketing,Executive,89115.0,2022-10-02
333,1,Sales,Associate,36555.0,2022-06-25
334,5,Operations,Manager,63622.0,2022-12-25
335,4,Human Resources,Executive,78127.0,2022-10-01
336,2,Marketing,Manager,57774.0,2022-06-18
337,1,Sales,Manager,43955.0,2022-06-23
338,3,Finance,Associate,35707.0,2022-06-09
339,3,Finance,Associate,37737.0,2022-04-21
340,4,Human Resources,Associate,39341.0,2022-12-13
341,2,Marketing,Associate,38901.0,2022-10-28
342,2,Marketing,Executive,81529.0,2022-05-12
343,3,Finance,Executive,103887.56450456612,2022-07-18
344,5,Operations,Executive,97966.0,2022-11-27
345,4,Human Resources,Associate,40782.0,2022-05-16
346,3,Finance,Executive,79812.0,2022-12-07
347,4,Human Resources,Manager,62985.0,2022-06-14
348,2,Marketing,Associate,40596.0,2022-04-13
349,4,Human Resources,Associate,41109.0,2022-05-31
350,2,Marketing,Associate,44232.0,2022-03-31
351,5,Operations,Executive,80245.0,2022-05-20
352,4,Human Resources,Associate,44351.0,2022-08-24
353,5,Operations,Manager,69129.0,2022-09-25
354,2,Marketing,Associate,34170.0,2022-08-20
355,1,Sales,Associate,34034.0,2022-07-06
357,2,Marketing,Executive,101959.0,2022-06-14
358,5,Operations,Manager,63374.0,2022-08-22
359,1,Sales,Manager,54053.0,2022-04-30
360,3,Finance,Manager,61486.0,2022-05-31
361,3,Finance,Associate,42577.0,2022-05-08
362,4,Human Resources,Associate,39589.53218248652,2022-06-13
363,1,Sales,Associate,42250.0,2022-05-30
364,1,Sales,Executive,84350.0,2022-05-25
365,4,Human Resources,Executive,67696.0,2022-09-16
366,3,Finance,Executive,86846.0,2022-11-24
367,5,Operations,Associate,43989.0,2022-09-04
368,5,Operations,Executive,63746.0,2022-11-28
369,5,Operations,Manager,68880.0,2022-10-19
370,2,Marketing,Manager,60516.6848681298,2022-04-29
371,4,Human Resources,Manager,69536.0,2022-11-27
372,5,Operations,Associate,35126.0,2022-08-08
373,1,Sales,Executive,81846.0,2022-12-19
374,3,Finance,Executive,103887.56450456612,2022-03-11
375,2,Marketing,Executive,89903.0,2022-12-02
376,4,Human Resources,Executive,121462.44142024846,2022-10-25
377,3,Finance,Executive,77836.0,2022-06-10
378,2,Marketing,Associate,37599.0,2022-08-18
379,5,Operations,Associate,33158.0,2022-11-27
380,3,Finance,Executive,76835.0,2022-08-12
381,3,Finance,Executive,103887.56450456612,2022-10-13
382,1,Sales,Associate,40409.06051381489,2022-04-21
383,5,Operations,Manager,62217.0,2022-06-19
384,4,Human Resources,Manager,59758.390308591675,2022-06-23
385,3,Finance,Executive,89610.0,2022-06-14
386,3,Finance,Executive,85943.0,2022-07-31
387,1,Sales,Executive,82583.0,2022-11-28
388,5,Operations,Executive,72294.0,2022-09-24
389,5,Operations,Associate,40366.80635538272,2022-12-29
390,4,Human Resources,Executive,77165.0,2022-03-03
391,2,Marketing,Associate,40691.0,2022-12-03
392,2,Marketing,Associate,39737.42929100642,2022-09-06
393,5,Operations,Executive,108747.97320453949,2022-03-10
394,2,Marketing,Associate,47219.0,2022-12-01
395,2,Marketing,Associate,39737.42929100642,2022-04-21
396,5,Operations,Executive,70314.0,2022-06-02
397,1,Sales,Associate,38794.0,2022-04-15
398,2,Marketing,Associate,37150.0,2022-12-13
399,1,Sales,Executive,87725.0,2022-03-02
400,4,Human Resources,Manager,61878.0,2022-03-05
401,3,Finance,Manager,57605.0,2022-03-23
402,3,Finance,Executive,506522.0,2022-09-08
403,3,Finance,Executive,77180.0,2022-11-10
404,1,Sales,Associate,48077.0,2022-08-09
405,1,Sales,Executive,72806.0,2022-04-18
406,1,Sales,Manager,64187.0,2022-12-15
407,1,Sales,Manager,47216.0,2022-06-23
408,4,Human Resources,Associate,49356.0,2022-10-16
409,5,Operations,Executive,79966.0,2022-07-23
410,5,Operations,Manager,49559.0,2022-12-14
411,3,Finance,Associate,38391.0,2022-11-17
412,3,Finance,Associate,33967.0,2022-09-12
413,1,Sales,Executive,116485.21429852198,2022-05-13
414,2,Marketing,Manager,73181.0,2022-11-30
415,5,Operations,Executive,86883.0,2022-02-08
416,2,Marketing,Associate,45004.0,2022-07-24
417,2,Marketing,Manager,49920.0,2022-11-20
418,5,Operations,Executive,84711.0,2022-04-14
419,2,Marketing,Executive,108332.7343298129,2022-05-31
420,4,Human Resources,Executive,81634.0,2022-09-24
421,3,Finance,Executive,65371.0,2022-08-28
422,3,Finance,Executive,83004.0,2022-08-20
423,2,Marketing,Associate,39220.0,2022-10-16
424,2,Marketing,Associate,39737.42929100642,2022-01-29
425,4,Human Resources,Associate,42474.0,2022-03-19
426,4,Human Resources,Executive,121462.44142024846,2022-12-13
427,2,Marketing,Manager,52171.0,2022-09-07
428,1,Sales,Manager,59571.91515860383,2022-05-10
429,3,Finance,Associate,40998.0,2022-07-06
430,2,Marketing,Associate,35419.0,2022-02-04
431,1,Sales,Executive,89868.0,2022-05-17
432,3,Finance,Manager,58008.88696278488,2022-12-03
433,4,Human Resources,Executive,75989.0,2022-04-09
434,3,Finance,Manager,66804.0,2022-06-20
435,1,Sales,Manager,59571.91515860383,2022-09-15
436,5,Operations,Executive,108747.97320453949,2022-10-22
437,1,Sales,Executive,71347.0,2022-05-28
438,5,Operations,Associate,35719.0,2022-10-20
439,5,Operations,Executive,83878.0,2022-05-05
440,1,Sales,Associate,52213.0,2022-02-20
441,3,Finance,Executive,94567.0,2022-06-14
442,3,Finance,Manager,60043.0,2022-10-29
443,4,Human Resources,Associate,43818.0,2022-02-03
444,2,Marketing,Associate,32775.0,2022-09-03
445,3,Finance,Associate,36834.0,2022-03-30
446,2,Marketing,Manager,57181.0,2022-09-10
447,5,Operations,Associate,51209.0,2022-06-20
448,3,Finance,Executive,84399.0,2022-10-09
449,5,Operations,Associate,46650.0,2022-02-09
450,3,Finance,Executive,81637.0,2022-07-28
451,1,Sales,Manager,59571.91515860383,2022-01-26
